product_title,product_price,product_star_rating,product_num_ratings,rank,country
VIDBOX Video Conversion for PC,99.99,4.3,1842.0,46,CA
Kaspersky Total Security 2021 (2022 Ready) | 5 Devices | 1 Year | PC/Mac/Android | Activation Key Card by Post with Antivirus,47.49,4.4,76.0,47,CA
"McAfee Total Protection 1-Device 2025 | Security Software Includes Antivirus, Secure VPN, Password Manager, Identity Monitori",15.95,3.8,36.0,48,CA
"System Rescue CD System Recovery Disk for Windows 10, 8.1, 8, 7, Vista, XP and Linux. System Recovery Disk. Repair, Rescue An",19.95,3.6,115.0,49,CA
"[Old Version] CorelDRAW Essentials 2021 | Graphics Design Software for Occasional Users | Illustration, Layout, and Photo Edi",173.96,3.8,75.0,50,CA
NFS Unbound Playstation 5,38.53,4.4,502.0,51,CA
Microsoft Office Home and Business 2024,319.99,5.0,1.0,52,CA
"Laplink PCmover Ultimate 11 - Migration of your Applications, Files and Settings from an Old PC to a New PC - Data Transfer S",87.95,4.1,4477.0,53,CA
VIDBOX Video Conversion Suite 2.0,148.56,4.0,1791.0,55,CA
Pinnacle Dazzle DVD Recorder HD | Video Capture Device + Video Editing Software [PC Disc],111.1,3.4,1577.0,56,CA
"McAfee Total Protection 2025 | 5 Device | Cybersecurity Software Includes Antivirus, Secure VPN, Password Manager, Dark Web M",26.99,4.1,363.0,58,CA
"Digital Cut - Background Remover - Edit, remove and change the background from your pictures easily for Win 11, 10",45.82,3.5,17.0,59,CA
Office Suite 2025 Compatible with Microsoft Office 2024 365 2021 2019 2016 2013 Powered by Apache OpenOffice on USB with Life,24.99,3.8,81.0,60,CA
"Corel WordPerfect Office Home & Student 2021 | Office Suite of Word Processor, Spreadsheets & Presentation Software [PC Disc]",113.07,4.3,683.0,61,CA
"AWRS Recovery, Repair & Re-Install Disc Compatible With Ms Win 10 32, 64 Bit",27.78,3.7,757.0,62,CA
"McAfee+ Premium Family Plan, 2025 | Unlimited Devices | Identity and Privacy Protection Software includes Unlimited Secure VP",59.99,4.1,50.0,64,CA
"Microsoft Office 2019 Home & Business - License - 1 PC/Mac, 1 Device - Download - All Languages - Intel-based Mac, PC",145.0,4.1,5.0,65,CA
Adobe Photoshop Elements 2025 & Premiere Elements 2025 Student & Teacher Edition | PC/Mac Code | Software Download | Photo & ,114.99,1.0,1.0,66,CA
Microsoft Windows 11 Professional | 11 64-bit | English | USB,180.0,3.7,33.0,68,CA
Windows 11 Pro [PC Online code],259.99,2.3,15.0,69,CA
Office Suite 2025 Compatible with Microsoft Office 2024 2021 365 2019 2016 2013 2010 2007 Word Excel PowerPoint on CD DVD Pow,24.99,3.8,227.0,70,CA
"Norton Utiltities Ultimate - cleans and speeds up your PC, Windows PCs only [PC Online code]",29.99,3.9,81.0,72,CA
DOOM: The Classics Collection (Limited Run #102),99.99,4.7,89.0,73,CA
Igt Slots: Lucky Larry Lobstermania,40.67,4.0,418.0,74,CA
Norton Norton 360 Deluxe / Total Security 5 Devices 1 Year (5-Users),64.99,4.8,20.0,75,CA
